구분,음주 ,무면허,통고처분,무인,범법,보행자,질서요청서
전북지방경찰청,0,1,0,0,0,0,0
전주완산,1146,172,3770,59455,4258,152,36
전주덕진,737,137,4731,42024,6629,1,27
군산,762,248,4632,59088,3497,54,64
익산,593,169,2105,49620,2240,1,34
정읍,172,79,518,16187,698,1,8
남원,155,60,660,18963,1449,0,20
김제,242,114,3286,21095,558,0,23
완주,172,79,1193,51503,1325,0,30
고창,100,46,336,9677,270,0,7
부안,101,29,261,7557,298,0,5
임실,27,7,113,8477,137,0,13
순창,40,17,198,3671,155,0,4
진안,31,16,112,21433,156,0,34
장수,31,12,47,5953,115,0,11
무주,41,15,167,6855,119,0,6
９지구대,307,75,5976,52622,0,0,14
12지구대,110,28,6741,23929,0,0,6
